error.cart_product_not_available;{{replace}} ist zur Zeit nicht verfügbar und wurde deshalb aus der Einkaufstasche entfernt
error.cart_product_not_exists;{{replace}} Produkt/e existieren nicht mehr und wurde/n deshalb aus der Einkaufstasche entfernt
label.packing_list_title;###label.shipping_document### Nr. {NUM}
label.entry_removed;Der Eintrag wurde entfernt
label.pages;Seiten
action.abort;Abbrechen
action.remove;Entfernen
action.use_coupon;Coupon anwenden
shop.order_status_CA;abgebrochen
shop.order_status_CL;abgeschlossen
shop.order_status_CN;Gutschrift
action.logout;Abmelden
simpleshop.account_area_account;Account
label.address;Adresse
label.language;Sprache
simpleshop.cash;Barbezahlung
label.pages;Seiten
error.choose_shipping_address;Bitte eine Versandadresse auswählen
action.add_address;Adresse hinzufügen
label.addresses;Adressen
label.address_additional;Adresszusatz
action.close;schließen
label.free_shipping;Gratisversand
label.email__registration_optin_text;Sie haben sich bei ###company.name### registriert und müssen auf den nachfolgenden Link klicken um ihr Konto zu aktivieren:
label.reg_activation_already_done;Sie haben Ihr Konto bereits aktiviert
label.login_success_overlay;Sie haben sich erfolgreich angemeldet und können nun fortfahren
label.reg_activation_failed;Die Aktivierung des Kontos ist fehlgeschlagen
label.reg_activation_successful;Die Aktivierung war erfolgreich. Sie können sich nun mit Ihren Zugangsdaten anmelden
label.auth_data;Zugangsdaten
label.activation_link_sent;Ihnen wurde ein Aktivierungslink per Mail zugesendet. Bitte kontrollieren Sie auch Ihren Spam-Ordner
label.customer_type;Ich bin eine...
label.all;alle
label.giftcard;Geschenkkarte
label.min_order_info;Der Gesamtwert einer Bestellung muss mindestens {VALUE} betragen
error.min_order_value;Der Mindestbestellwert von {VALUE} wurde nicht erreicht
error.token_already_used_for_transaction;Die Zahlung wurde bereits in einer anderen Transaktion durchgeführt
label.redirect_to_plugin_payment_page;Sie werden nun zur Bezahlschnittstelle von {NAME} geleitet
label.order_placed_but_pending;Die Bestellung wurde erfolgreich erstellt und wartet noch auf den Abschluss der Zahlung.
action.create_new_shipping_address;Neue Lieferadresse anlegen
label.province;Provinz
label.applied;angewandt
action.login;Anmelden
error.login_failed;Anmeldung ist fehlgeschlagen
action.add_to_wishlist;auf meine wunschliste
label.bank_transfer ;Banküberweisung
action.edit;bearbeiten
label.description;Beschreibung
label.order_date;Bestelldatum
label.saved;Gespeichert
label.order_num;Bestellnummer
label.order;Bestellung
label.order_placed;Bestellung abgeschlossen
label.email__order_complete;Bestellung erfolgreich
label.email__generated_coupons_message;Folgender Gutschein kann bei der nächsten Bestellung verwendet werden
simpleshop.account_area_orders;Bestellungen
label.credit_note_reference_info;Bezugnehmend auf Rechnung Nr.
error.field.empty;Bitte füllen Sie das Feld '{{fieldname}}' aus
error.insert_company_name;Bitte geben Sie den Firmennamen ein
error.insert_lastname;Bitte geben Sie den Nachnamen ein
error.insert_firstname;Bitte geben Sie den Vornamen ein
error.insert_email;Bitte geben Sie die E-Mail-Adresse ein
error.insert_location;Bitte geben Sie die Ortschaft ein
error.insert_postal;Bitte geben Sie die PLZ ein
error.insert_street;Bitte geben Sie die Straße ein
error.email_not_valid;Bitte geben Sie eine gültige Email ein
error.field.email_not_valid;Bitte geben Sie eine gültige Email ein
error.field.vat_not_valid;Bitte geben Sie eine gültige MwSt.Nr. ein
error.field.fiscal_code_not_valid;Bitte geben Sie eine gültige Steuernummer ein
error.field.checkbox_not_set;Bitte setzen Sie das '{{fieldname}}'-Häckchen
label.banktransfer_order_complete_text;"Bitte überweisen Sie den Betrag von {{total}} auf das unten genannten Konto mit dem Betreff: ""Bestellung {{order_id}}""
Sobald die Zahlung eingeht, wird der Auftrag schnellstmöglich bearbeitet. 

Bankname
IBAN: ITXX XXX XXXX XXXX XXXX XXXX XXX
SWIFT-BIC: XXXXXXXX"
error.field.no_option_selected;Bitte wählen Sie eine Option - '{{fieldname}}'
label.shipping_document;Bolla di consegna
label.insert_coupon;Coupon-Code eingeben
error.password_policy;Das Passwort muss min. 8 Zeichen lang sein und min. 1 einen Bustabe und min. 1 Zahl beinhalten
label.date;Datum

label.add_to_cart_success;Der Artikel wurde erfolgreich in die Einkaufstasche gelegt
